name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	nationality	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work
Nikola Maksimović	33	193	89	R	B	CBT	["CBT"]	Montpellier	2025	Serbia	50	73	88	71	66	66	76	62	65	60	64	63	59	57	61	68	59	61	62	73	76	66	55	75	50	77
Tanguy Coulibaly	23	179	78	L	B	WF	["WF","SM","CF"]	Montpellier	2026	France	71	52	76	71	80	84	67	85	81	81	73	69	67	69	74	68	67	61	73	61	68	80	67	71	50	72
Falaye Sacko	29	180	65	R	B	SB	["SB"]	Montpellier	2026	Mali	69	68	74	88	89	89	73	87	75	82	74	69	70	67	61	68	63	61	65	71	82	75	71	80	50	68
Alban Lafont	25	196	90	R	B	GK	["GK"]	Nantes	2027	France	31	80	83	71	62	62	84	72	58	55	65	67	66	66	31	74	43	62	49	56	76	66	46	73	78	71
Jean-Kévin Duverne	27	184	71	R	B	SB	["SB","CBT"]	Nantes	2027	Haiti	68	73	79	78	68	66	77	68	74	69	78	71	69	63	61	68	63	61	62	76	77	76	75	76	50	68
Nicolas Louis Marcel Cozza	26	178	72	L	B	SB	["SB","CBT"]	Nantes	2025	France	67	76	74	74	74	79	79	76	76	74	75	70	69	63	61	68	63	61	66	73	79	76	78	76	50	69
Nicolas Pallois	37	189	89	L	B	CBT	["CBT"]	Nantes	2025	France	51	78	88	71	66	66	79	62	66	62	73	76	69	71	61	82	64	61	62	78	78	65	52	78	50	79
Pedro Chirivella Burgos	27	178	66	R	B	DM	["DM","CM"]	Nantes	2026	Spain	71	72	70	90	66	66	82	71	77	66	79	75	76	71	62	73	68	62	68	63	66	81	82	85	50	74
Douglas Augusto Soares Gomes	28	173	68	L	B	CM	["CM","DM"]	Nantes	2027	Brazil	79	74	81	83	76	77	81	76	77	75	80	80	72	72	71	81	75	65	72	67	79	79	81	85	50	81
Ignatius Kpene Ganago	25	176	78	R	B	CF	["CF"]	Nantes	2027	Cameroon	75	41	80	71	83	82	73	81	78	80	73	77	67	75	76	82	72	66	65	72	84	78	73	65	50	68
Johann Lepenant	22	176	69	R	B	DM	["DM","CM","AM"]	Nantes	2025	France	72	72	76	82	73	74	76	78	77	74	80	74	72	65	67	69	70	69	73	63	71	78	76	79	50	74
Philana Tinotenda Kadewere	29	183	72	R	B	CF	["CF","SM","WF"]	Nantes	2027	Zimbabwe	76	44	75	71	77	76	76	79	77	76	76	77	70	74	77	79	74	66	72	75	81	78	76	69	50	73
Marcus Coco	28	184	78	R	B	SM	["SM","SB","WB"]	Nantes	2025	France	76	61	72	71	82	81	75	83	77	79	76	76	74	76	71	76	73	61	65	68	77	77	75	66	50	71
Jean-Philippe Gbamin	29	186	83	R	B	DM	["DM","CM","CBT"]	Nantes	2025	Côte d'Ivoire	72	70	82	71	77	70	73	70	73	73	74	76	74	76	61	79	68	68	68	74	81	74	73	75	50	76
Jean-Charles Victor Castelletto	29	186	78	R	B	CBT	["CBT"]	Nantes	2028	Cameroon	64	81	80	77	72	74	80	71	72	68	72	68	64	58	62	68	63	62	62	83	87	76	68	79	50	75
Benjamin Sorba William Thomas	25	185	75	R	B	WF	["WF","SM","CF"]	Nantes	2025	Wales	71	54	73	86	90	88	71	85	76	83	70	73	73	78	68	79	66	79	79	61	71	76	71	82	50	74
Florent Mollet	33	174	68	R	B	AM	["AM","CM","SM"]	Nantes	2025	France	73	58	78	82	68	74	76	76	78	72	80	80	80	81	73	81	77	83	80	61	66	78	76	78	50	74
Moses Daddy-Ajala Simon	29	168	69	R	B	WF	["WF","SM","CF"]	Nantes	2026	Nigeria	77	40	82	76	90	90	76	90	83	88	76	76	77	79	73	77	78	67	74	62	75	82	76	67	50	72
Fabien Centonze	29	182	75	R	B	SB	["SB"]	Nantes	2027	France	71	70	77	79	75	75	74	75	75	74	75	71	76	74	61	69	64	61	78	69	79	76	67	78	50	74
Patrik Ulf Anders Carlgren	33	188	84	R	B	GK	["GK"]	Nantes	2026	Sweden	31	74	77	71	62	62	76	66	58	55	61	65	63	65	37	73	43	61	49	55	72	65	51	71	74	70
Mostafa Mohamed Ahmed Abdalla مصطفى محمد	27	185	78	R	B	CF	["CF"]	Nantes	2027	Egypt	79	41	88	79	79	74	74	73	76	76	72	76	63	71	81	84	75	73	70	83	90	77	74	76	50	73
Matthis Abline	21	182	81	R	B	CF	["CF","SM","WF"]	Nantes	2028	France	76	40	74	73	79	85	70	82	79	79	73	74	61	63	78	76	75	61	66	74	81	78	70	65	50	70
Nathan Zézé	19	190	78	L	B	CBT	["CBT"]	Nantes	2028	France	52	76	71	73	67	72	78	65	65	64	71	68	58	53	61	68	61	61	62	76	79	71	57	72	50	68
Hugo Barbet	23	189	82	R	B	GK	["GK"]	Nantes	2025	France	31	69	74	71	62	62	71	60	58	55	61	63	61	63	31	66	43	61	49	55	67	65	42	58	69	58
Adel Mahamoud	21	178	68	R	B	WF	["WF","SM","CF"]	Nantes	2026	Comoros	65	31	74	71	76	74	63	79	76	76	64	63	60	62	70	68	69	61	62	61	66	75	62	63	50	64
Dehmaine Tabibou Assoumani	19	181	71	L	B	CM	["CM","AM"]	Nantes	2026	France	64	48	67	71	73	70	63	68	76	74	73	69	69	63	61	68	64	61	67	62	66	74	60	67	50	66
Bahereba Guirassy	18	186	70	R	B	WF	["WF","SM","CF"]	Nantes	2028	France	65	31	66	71	78	72	63	71	76	77	68	65	63	62	68	68	64	61	71	62	66	75	61	63	50	65
Louis Leroux	18	184	75	L	B	CM	["CM","DM"]	Nantes	2028	France	63	60	67	78	73	69	66	70	73	72	73	68	66	61	63	68	64	61	71	61	66	74	66	68	50	65
Kelvin Amian Adou	26	180	78	R	B	SB	["SB","CBT"]	Nantes	2028	France	71	72	82	84	81	80	76	78	72	76	72	73	69	73	61	76	62	61	74	73	85	72	69	81	50	71
Marcin Bułka	25	199	90	R	B	GK	["GK"]	Nice	2026	Poland	31	82	87	71	62	62	83	68	58	55	61	66	64	66	31	75	43	61	49	55	78	65	49	72	81	68
Ali Abdi	31	183	73	L	B	SB	["SB","SM","WB"]	Nice	2027	Tunisia	76	66	75	90	94	85	76	82	77	85	77	74	74	73	68	72	67	61	74	75	85	78	76	82	50	73
Dante Bonfim da Costa Santos	41	188	89	L	B	CBT	["CBT"]	Nice	2025	Brazil	61	86	88	75	66	66	86	62	76	62	83	75	75	66	63	68	66	66	62	83	79	82	66	78	50	83
Mohamed Abdelmonem محمد عبد المنعم	25	183	78	R	B	CBT	["CBT"]	Nice	2028	Egypt	60	79	80	74	72	70	78	70	68	68	78	72	71	62	61	68	61	61	64	81	86	70	64	77	50	79
Hicham Boudaoui هشام بوداوي	25	175	61	R	B	CM	["CM","DM"]	Nice	2027	Algeria	79	74	76	87	79	78	81	80	81	79	81	75	76	71	74	70	70	67	80	78	82	81	81	83	50	78
Jérémie Boga	28	172	68	R	B	WF	["WF","SM","CF"]	Nice	2027	Côte d'Ivoire	76	42	77	73	83	91	74	90	84	85	78	80	76	79	73	83	76	75	81	68	80	83	74	69	50	72
Pablo Paulino Rosario	28	188	73	R	B	DM	["DM","CM","CBT"]	Nice	2026	Netherlands	73	75	84	83	67	66	80	69	78	71	78	78	71	72	68	79	71	64	65	75	79	79	78	80	50	75
Terem Igobor Moffi	25	188	89	L	B	CF	["CF","WF","SM"]	Nice	2027	Nigeria	77	32	90	73	94	90	76	77	80	87	73	76	60	70	83	83	77	66	65	79	95	80	76	70	50	68
Sofiane Diop سفيان داودا ديوب	24	175	65	R	B	WF	["WF","SM","AM"]	Nice	2027	Morocco	80	60	76	81	73	77	79	80	84	79	81	79	78	80	75	79	76	79	80	62	66	84	79	78	50	79
Morgan Sanson	30	180	73	R	B	CM	["CM","AM"]	Nice	2027	France	80	72	76	83	67	74	81	76	81	73	82	82	81	80	77	82	77	75	79	73	78	81	81	81	50	80
Youssoufa Moukoko	20	179	72	L	B	CF	["CF"]	Nice	2025	Germany	84	40	80	78	76	85	81	86	83	79	77	78	60	68	83	81	79	62	73	76	83	84	81	71	50	72
Rareş Ilie	21	185	75	R	B	WF	["WF","SM","AM"]	Nice	2027	Romania	69	48	75	74	84	78	69	80	76	79	73	71	72	70	68	70	70	72	74	67	75	76	69	71	50	69
Badredine Bouanani بدر الدين بوعناني	20	177	68	L	B	WF	["WF","SM"]	Nice	2029	Algeria	72	39	73	71	75	76	67	76	77	76	77	73	73	72	73	70	68	65	70	61	66	76	67	63	50	70
Tom Alexis Louchet	21	178	66	R	B	SM	["SM","CM"]	Nice	2027	France	75	67	71	76	71	77	76	74	77	73	76	73	71	70	70	70	68	63	66	67	71	78	76	73	50	72
Tanguy Ndombélé Alvaro	28	181	76	R	B	CM	["CM","DM"]	Nice	2026	France	76	70	83	71	68	67	76	75	86	77	83	82	80	79	75	82	76	68	78	66	74	85	76	74	50	80
Gaëtan Laborde	30	181	78	L	B	WF	["WF","SM","CF"]	Nice	2026	France	83	45	79	89	74	75	82	79	83	78	83	84	79	82	83	85	83	68	79	86	90	84	82	83	50	81
Mohamed-Ali Cho	21	181	66	L	B	WF	["WF","SM","CF"]	Nice	2028	France	76	33	70	71	82	85	73	80	82	83	78	76	65	71	77	74	70	61	62	72	80	80	73	63	50	71
Melvin Michel Maxence Bard	24	173	65	L	B	SB	["SB","SM","WB"]	Nice	2028	France	76	77	80	83	82	80	80	79	78	79	78	76	77	76	61	74	65	61	74	68	79	79	79	82	50	76
Evann Guessand	23	188	79	R	B	CF	["CF","WF","SM"]	Nice	2028	Côte d'Ivoire	78	36	84	71	87	77	76	74	78	81	73	75	60	67	80	79	76	61	62	79	88	81	76	68	50	71
Maxime Dupé	31	188	88	R	B	GK	["GK"]	Nice	2026	France	31	78	80	71	62	62	78	66	58	55	61	66	64	66	33	76	43	61	49	55	77	65	48	70	79	63
Antoine Mendy	20	187	75	R	B	CBT	["CBT","SB"]	Nice	2028	France	69	73	76	75	72	71	76	70	70	69	74	69	63	62	61	68	61	61	62	73	78	71	73	76	50	66
Issiaga Camara	19	170	72	R	B	DM	["DM","CM"]	Nice	2028	Guinea	65	63	77	73	71	74	69	73	74	72	73	69	63	60	61	68	63	61	68	68	77	75	68	75	50	68
Amidou Doumbouya	17	182	72	L	B	CBT	["CBT"]	Nice	2026	France	47	67	69	71	66	66	63	62	65	61	68	65	59	52	61	68	59	61	62	70	71	66	49	69	50	64
Victor Orakpo	19	194	82	R	B	CF	["CF"]	Nice	2028	Nigeria	66	32	70	71	80	77	63	74	67	73	66	66	58	62	67	68	61	61	62	73	78	65	60	63	50	63
Youssouf Ndayishimiye	26	183	79	R	B	DM	["DM","CM","CBT"]	Nice	2027	Burundi	72	77	85	85	76	73	81	73	78	76	80	73	72	65	61	68	64	68	64	79	86	79	79	80	50	72
Moïse Bombito Lumpungu	24	191	81	R	B	CBT	["CBT"]	Nice	2028	Canada	64	77	84	71	92	93	74	75	73	81	76	70	65	60	65	68	63	61	62	78	89	75	68	73	50	75
Teddy Boulhendi	23	185	77	R	B	GK	["GK"]	Nice	2025	Algeria	31	70	74	71	62	62	71	63	58	55	61	64	62	64	32	68	43	61	49	55	68	65	43	56	70	58
Jonathan Clauss	32	178	69	R	B	SB	["SB","SM","WB"]	Nice	2026	France	81	74	74	85	92	87	85	86	82	86	81	80	80	83	75	80	72	81	80	71	79	83	85	79	50	78
Anthony Lopes	34	184	81	L	B	GK	["GK"]	Olympique Lyonnais	2025	Portugal	31	83	81	72	69	70	85	77	59	61	63	64	64	64	40	70	43	63	49	56	82	66	51	77	83	72
Nicolás Alejandro Tagliafico	32	172	65	L	B	SB	["SB"]	Olympique Lyonnais	2025	Argentina	77	76	82	86	78	81	82	81	80	77	80	74	79	74	68	70	65	63	71	82	89	81	80	85	50	79
Edgar Paul Akouokou	27	181	68	R	B	DM	["DM"]	Olympique Lyonnais	2027	Côte d'Ivoire	69	75	68	71	66	66	76	70	74	66	77	73	72	68	64	70	66	61	62	70	69	76	74	71	50	72
Maxence Caqueret	24	174	63	R	B	CM	["CM","DM"]	Olympique Lyonnais	2026	France	78	78	77	90	78	80	83	84	82	79	83	75	79	70	69	68	70	76	71	62	71	82	83	87	50	80
Jordan Marcel Gilbert Veretout	31	177	67	R	B	CM	["CM","DM"]	Olympique Lyonnais	2026	France	81	76	83	85	79	78	83	78	82	79	84	85	81	81	77	85	78	78	77	68	80	83	83	84	50	81
Corentin Tolisso	30	181	81	R	B	CM	["CM","DM"]	Olympique Lyonnais	2027	France	78	75	79	78	71	67	83	66	81	75	83	85	79	79	78	88	81	75	76	82	83	82	83	79	50	80
Gift Emmanuel Orban	22	178	70	R	B	CF	["CF"]	Olympique Lyonnais	2028	Nigeria	79	31	76	71	81	79	79	78	77	79	69	76	67	75	83	85	78	78	78	67	77	76	79	64	50	70
Alexandre Lacazette	33	175	73	R	B	CF	["CF"]	Olympique Lyonnais	2025	France	86	48	84	76	76	73	86	78	86	80	84	85	78	81	88	87	83	80	78	81	85	87	86	78	50	83
Malick Martin Fofana	19	170	60	R	B	WF	["WF","SM"]	Olympique Lyonnais	2028	Belgium	78	49	79	71	89	88	78	89	83	88	76	71	71	68	76	68	70	63	69	61	66	81	78	67	50	71
Dazet Wilfried Armel Zaha	32	180	66	R	B	WF	["WF","SM"]	Olympique Lyonnais	2025	Côte d'Ivoire	81	44	78	80	88	87	80	86	88	88	81	82	78	82	83	85	79	66	77	63	78	88	80	80	50	81
Francis Tanner James Tessmann	23	188	86	R	B	DM	["DM","CM"]	Olympique Lyonnais	2029	United States	74	72	86	82	66	69	77	71	77	70	79	76	73	69	61	74	67	68	64	69	80	78	77	76	50	73
Abner Vinícius da Silva Santos	24	182	74	L	B	SB	["SB"]	Olympique Lyonnais	2029	Brazil	76	70	72	75	86	83	73	82	78	82	79	77	79	78	65	76	65	61	79	64	74	78	73	75	50	75
Mohamed Saïd Benrahma محمد سعيد بن رحمة	29	172	67	R	B	WF	["WF","SM"]	Olympique Lyonnais	2027	Algeria	80	50	76	76	75	81	78	83	84	80	80	82	77	81	78	85	77	76	77	62	71	84	78	70	50	75
Mathis Rayan Cherki	21	177	71	L	B	WF	["WF","SM","AM"]	Olympique Lyonnais	2026	France	76	31	78	71	76	79	79	81	87	84	81	80	78	78	72	79	73	78	80	62	66	83	79	69	50	75
Moussa Niakhaté	28	190	85	L	B	CBT	["CBT"]	Olympique Lyonnais	2028	Senegal	63	81	85	73	82	66	81	62	72	76	78	71	72	65	62	68	61	62	62	80	78	72	68	78	50	82
Saël Kumbedi Nseke	19	175	63	R	B	SB	["SB"]	Olympique Lyonnais	2027	France	70	68	76	73	85	83	75	83	76	80	73	69	69	66	61	68	63	61	64	61	68	76	75	74	50	71
Clinton Mukoni Mata Pedro Lourenço	32	180	73	R	B	SB	["SB","CBT"]	Olympique Lyonnais	2026	Angola	75	76	77	87	83	79	78	80	77	79	77	79	73	74	63	81	68	76	75	76	85	77	78	83	50	74
Lucas Estella Perri	27	197	98	R	B	GK	["GK"]	Olympique Lyonnais	2028	Brazil	31	82	87	71	62	62	83	68	58	55	61	70	67	72	34	85	43	61	49	55	80	65	51	68	82	71
Warmed Omari	24	188	76	R	B	CBT	["CBT"]	Olympique Lyonnais	2025	Comoros	54	80	79	73	73	67	78	65	71	69	78	71	65	57	61	68	62	61	62	78	81	74	60	75	50	76
Enzo Anthony Honoré Molebe	17	178	68	R	B	CF	["CF"]	Olympique Lyonnais	2027	France	68	31	76	71	80	84	68	84	75	77	67	68	58	60	71	71	68	61	62	61	74	75	68	63	50	64
Justin Bengui Joao	19	190	80	R	B	GK	["GK"]	Olympique Lyonnais	2025	France	31	68	74	71	62	62	68	60	58	55	61	62	60	62	31	66	43	61	49	55	66	65	42	61	68	58
Nemanja Matić Немања Матић	36	194	85	L	B	DM	["DM","CM"]	Olympique Lyonnais	2026	Serbia	75	79	85	80	66	66	83	62	84	69	85	85	80	79	69	86	77	72	74	77	74	85	83	81	50	77
Mahamadou Diawara	19	187	78	L	B	CM	["CM"]	Olympique Lyonnais	2028	France	69	65	78	72	74	70	71	67	75	73	78	74	68	64	62	71	65	61	62	67	75	76	71	71	50	71
Ernest Nuamah Appiah	21	178	71	L	B	WF	["WF","SM","CF"]	Olympique Lyonnais	2028	Ghana	75	36	78	71	85	90	75	85	82	84	72	73	67	74	76	76	71	67	74	61	72	81	75	65	50	70
Rémy Descamps	28	196	82	L	B	GK	["GK"]	Olympique Lyonnais	2027	France	31	79	81	71	62	62	81	66	58	55	61	64	62	64	32	70	43	61	49	55	76	65	46	68	77	59
Irvyn Lomami	21	171	62	R	B	SB	["SB"]	Olympique Lyonnais	2025	France	64	63	76	71	80	80	67	81	68	73	68	66	67	64	61	68	60	61	63	66	75	68	66	68	50	65
Duje Ćaleta-Car	28	192	89	R	B	CBT	["CBT"]	Olympique Lyonnais	2027	Croatia	64	79	86	75	74	66	78	62	70	69	78	74	68	55	62	72	61	62	62	80	83	72	68	78	50	80
Georges Mikautadze გიორგი მიქაუტაძე	24	176	71	R	B	CF	["CF"]	Olympique Lyonnais	2028	Georgia	81	47	78	80	84	84	79	86	82	83	80	80	76	78	83	80	80	78	75	70	80	82	79	77	50	77
Ainsley Cory Maitland-Niles	27	180	71	R	B	SB	["SB"]	Olympique Lyonnais	2027	England	76	75	77	83	83	79	79	78	81	81	81	74	76	71	71	68	72	62	68	66	78	82	79	79	50	76
Gerónimo Rulli	32	189	84	R	B	GK	["GK"]	Olympique de Marseille	2027	Argentina	31	83	83	72	62	62	85	73	59	56	63	69	69	70	38	83	43	63	49	56	79	66	53	76	82	76
Quentin Merlin	22	174	68	L	B	SB	["SB","SM","WB"]	Olympique de Marseille	2028	France	78	75	75	78	75	79	80	77	80	78	79	76	78	77	61	74	74	76	78	69	74	79	80	77	50	77
Leonardo Julián Balerdi Rossa	25	187	85	R	B	CBT	["CBT"]	Olympique de Marseille	2026	Argentina	62	84	82	76	81	72	82	70	76	75	81	74	69	59	62	68	66	62	62	81	85	81	67	80	50	81
Ulisses Alexandre Garcia Lopes	29	182	73	L	B	SB	["SB"]	Olympique de Marseille	2028	Switzerland	68	68	79	82	83	81	72	79	74	79	76	70	73	69	61	68	62	61	74	66	81	72	72	77	50	68
Valentín Carboni	19	185	78	L	B	AM	["AM","CF","SM","SS","WF"]	Olympique de Marseille	2025	Argentina	77	54	69	71	68	66	79	67	79	73	80	78	76	75	76	77	75	76	77	73	66	79	79	68	50	74
Neal Maupay	28	171	65	R	B	CF	["CF"]	Olympique de Marseille	2025	France	81	46	79	78	68	79	81	79	77	71	78	80	70	76	80	83	78	65	69	78	84	79	81	81	50	80
Sepe Elye Wahi	22	181	77	R	B	CF	["CF"]	Olympique de Marseille	2029	France	81	36	79	76	86	86	80	85	82	84	78	79	71	76	84	83	83	69	71	74	83	82	80	72	50	74
Mason Will John Greenwood	23	181	70	L	B	WF	["WF","SM","CF"]	Olympique de Marseille	2029	England	80	40	72	73	85	85	77	86	84	85	81	84	77	82	83	88	81	79	81	71	79	83	77	67	50	74
Amine Harit أمين حاريث	27	180	67	R	B	CM	["CM","AM"]	Olympique de Marseille	2027	Morocco	81	63	71	79	79	83	85	83	84	82	81	74	77	71	71	69	73	73	79	66	68	83	85	76	50	78
Jeffrey de Lange	26	190	78	R	B	GK	["GK"]	Olympique de Marseille	2027	Netherlands	31	78	78	71	62	64	78	65	58	57	61	67	65	67	30	78	43	61	49	55	73	65	47	68	76	65
Derek Austin Cornelius	27	188	86	L	B	CBT	["CBT"]	Olympique de Marseille	2028	Canada	58	74	92	76	76	68	78	68	66	69	68	73	60	62	61	79	62	66	62	81	90	68	63	83	50	81
Faris Pemi Moumbagna	24	185	78	L	B	CF	["CF"]	Olympique de Marseille	2028	Cameroon	76	34	90	79	93	88	72	81	74	82	73	76	61	70	78	80	74	61	62	78	89	76	72	76	50	72
Jonathan David Henry Rowe	21	178	74	R	B	WF	["WF","SM"]	Olympique de Marseille	2025	England	79	43	77	71	86	85	80	84	78	82	73	76	65	75	76	81	73	63	74	71	80	78	80	71	50	74
Bamo Abdoul Meïté	23	183	75	R	B	CBT	["CBT"]	Olympique de Marseille	2028	Côte d'Ivoire	53	80	74	72	66	66	76	62	69	65	73	68	58	53	61	68	62	61	62	78	74	72	58	77	50	73
Geoffrey Edwin Kondogbia	31	188	76	L	B	DM	["DM","CBT"]	Olympique de Marseille	2027	Central African Republic	76	80	89	81	73	71	81	71	81	75	83	84	77	77	74	85	74	71	69	79	86	83	76	83	50	80
Lilian Brassier	25	186	78	L	B	CBT	["CBT"]	Olympique de Marseille	2025	France	63	83	81	76	75	71	80	68	76	74	78	72	70	65	61	68	64	61	62	81	85	78	69	78	50	78
Valentin Rongier	30	172	67	R	B	DM	["DM","CM"]	Olympique de Marseille	2026	France	76	77	84	80	68	71	83	74	81	74	82	78	76	73	68	75	75	68	72	64	74	83	82	80	50	78
Enzo Sternal	17	168	62	R	B	CF	["CF","AM","SS"]	Olympique de Marseille	2027	France	71	36	76	71	72	76	78	77	72	71	68	68	61	64	71	70	67	61	69	61	66	71	78	63	50	65
Pierre-Emile Kordt Højbjerg	29	187	84	R	B	DM	["DM","CM"]	Olympique de Marseille	2025	Denmark	79	78	81	83	66	66	85	65	82	68	85	85	80	80	76	87	77	80	74	73	75	83	83	86	50	81
Adrien Rabiot-Provost	29	191	80	L	B	CM	["CM","DM"]	Olympique de Marseille	2026	France	88	81	86	93	88	79	88	76	86	85	88	87	83	82	79	88	81	70	75	84	90	88	88	89	50	87
Pol Mikel Lirola Kosok	27	183	70	R	B	SB	["SB","CBT"]	Olympique de Marseille	2026	Spain	72	70	72	76	70	75	75	73	76	72	76	73	76	75	68	70	70	69	74	71	76	76	75	76	50	73
Bilal Nadir بلال نذير	21	179	62	L	B	CM	["CM"]	Olympique de Marseille	2026	Morocco	66	62	67	74	66	68	70	69	71	64	74	71	68	65	61	68	64	65	62	63	66	71	70	74	50	72
Rubén Blanco Veiga	29	188	70	R	B	GK	["GK"]	Olympique de Marseille	2026	Spain	31	79	77	71	62	62	78	71	58	56	61	67	64	67	39	77	43	61	49	55	77	65	48	69	79	64
Emran Soglo	19	178	68	L	B	SM	["SM","SB","WB"]	Olympique de Marseille	2025	England	68	62	69	71	77	79	71	79	73	74	72	68	69	67	64	68	63	61	67	61	66	73	71	66	50	67
François Régis Mughe	20	173	66	R	B	WF	["WF","SM"]	Olympique de Marseille	2028	Cameroon	66	41	76	71	89	90	66	87	69	78	66	67	66	68	67	71	62	66	62	62	69	69	66	68	50	66
Luis Henrique Tomaz de Lima	23	181	78	R	B	WF	["WF","SM"]	Olympique de Marseille	2028	Brazil	75	56	81	76	83	86	75	81	80	82	78	79	75	79	71	79	72	63	68	73	87	79	75	71	50	73
Yanis Sellami	18	178	64	R	B	CM	["CM"]	Olympique de Marseille	2025	France	61	49	68	71	67	68	63	71	72	67	74	69	69	65	61	68	63	65	69	61	66	73	60	63	50	65
Gaël Lafont	18	175	69	L	B	CM	["CM"]	Olympique de Marseille	2026	France	65	54	74	75	68	71	71	67	65	65	66	69	65	68	61	75	63	74	71	61	66	67	71	72	50	68
Keyliane Hikram Abdallah	18	185	70	L	B	WF	["WF","SM"]	Olympique de Marseille	2026	France	66	35	66	71	80	78	66	76	71	75	67	65	64	63	66	68	62	61	68	61	66	71	66	63	50	65
Ismaël Kenneth Jordan Koné	22	188	76	R	B	CM	["CM"]	Olympique de Marseille	2029	Canada	75	68	74	79	84	78	78	76	77	80	78	76	71	69	68	75	70	61	76	63	74	78	78	74	50	73
Michael Amir Murillo Bermúdez	28	184	78	R	B	SB	["SB"]	Olympique de Marseille	2026	Panama	74	70	76	80	85	83	76	79	76	79	74	73	76	76	66	73	64	67	78	72	83	78	74	78	50	75
Chancel Mbemba Mangulu	30	182	81	R	B	CBT	["CBT"]	Olympique de Marseille	2025	Congo DR	70	83	83	79	77	73	81	72	75	74	79	79	73	74	66	79	64	62	62	81	86	78	75	81	50	81
Gianluigi Donnarumma	25	196	90	R	B	GK	["GK"]	Paris Saint Germain	2026	Italy	31	90	88	73	62	62	92	77	60	57	63	66	66	66	36	76	43	63	49	57	86	67	56	81	89	77
Achraf Hakimi Mouh أشرف حكيمي	26	181	73	R	B	SB	["SB"]	Paris Saint Germain	2026	Morocco	84	76	78	93	94	90	85	87	84	88	85	85	83	85	81	85	80	84	80	76	85	85	85	87	50	82
Presnel Kimpembe	29	189	80	L	B	CBT	["CBT"]	Paris Saint Germain	2026	France	62	84	88	72	79	76	83	73	76	74	81	76	74	70	63	74	64	63	62	83	90	81	67	80	50	86
Marcos Aoás Corrêa	30	183	75	R	B	CBT	["CBT"]	Paris Saint Germain	2028	Brazil	76	92	82	87	84	79	91	76	81	79	88	78	82	71	70	70	66	63	64	90	90	84	81	86	50	87
Fabián Ruiz Peña	28	189	70	L	B	CM	["CM","DM"]	Paris Saint Germain	2027	Spain	82	74	72	86	66	66	85	68	85	71	87	84	81	78	80	80	80	70	79	75	74	86	85	81	50	81
Gonçalo Matias Ramos	23	185	82	R	B	CF	["CF"]	Paris Saint Germain	2028	Portugal	85	51	82	86	79	80	83	80	81	79	77	80	69	74	83	85	77	61	69	83	90	81	83	84	50	79
Masour Ousmane Dembélé	27	178	67	L	B	WF	["WF","SM","AM"]	Paris Saint Germain	2028	France	85	49	75	77	92	95	86	95	90	91	87	85	86	87	79	85	82	73	86	69	76	90	86	72	50	80
Marco Asensio Willemsen	29	182	76	L	B	WF	["WF","SM","CF","CM"]	Paris Saint Germain	2026	Spain	84	48	74	80	78	81	84	81	87	82	85	84	85	84	82	84	86	81	86	68	75	88	84	69	50	77
Désiré Doué	19	181	79	R	B	WF	["WF","SM","CM"]	Paris Saint Germain	2029	France	76	58	74	73	81	82	79	81	84	84	81	79	74	73	76	77	74	68	71	61	68	83	79	71	50	74
Vítor Machado Ferreira	24	172	64	R	B	CM	["CM","DM"]	Paris Saint Germain	2027	Portugal	84	76	78	85	74	79	88	85	89	81	90	85	85	80	82	79	81	76	84	64	71	89	88	83	50	84
Kang-in Lee 이강인	23	173	66	L	B	AM	["AM","CM","WF","SM"]	Paris Saint Germain	2028	Korea Republic	81	53	77	78	78	79	81	83	85	81	83	82	83	82	80	82	80	81	85	73	75	85	81	78	50	81
Lucas François Bernard Hernández Pi	28	184	79	L	B	CBT	["CBT","SB"]	Paris Saint Germain	2028	France	79	84	81	74	81	74	88	74	78	76	83	74	78	74	65	68	65	63	65	85	87	82	88	83	50	81
Randal Kolo Muani	26	187	73	R	B	CF	["CF"]	Paris Saint Germain	2028	France	85	41	78	79	91	91	84	89	85	88	82	83	72	77	85	85	81	71	74	84	91	85	84	69	50	77
Senny Mayulu	18	183	69	L	B	CM	["CM","AM"]	Paris Saint Germain	2027	France	72	55	70	71	74	79	72	77	79	76	76	78	71	74	69	81	67	64	77	61	66	79	72	69	50	69
Nuno Alexandre Tavares Mendes	22	180	70	L	B	SB	["SB"]	Paris Saint Germain	2026	Portugal	83	78	82	85	94	92	85	88	85	89	83	82	82	83	63	83	71	69	77	78	88	85	85	82	50	80
Bradley Barcola	22	186	70	R	B	WF	["WF","SM"]	Paris Saint Germain	2028	France	85	44	68	79	90	90	83	90	86	89	83	80	76	78	84	78	79	69	83	76	80	85	83	74	50	80
Warren Zaïre-Emery	18	178	68	R	B	CM	["CM","DM"]	Paris Saint Germain	2029	France	81	75	82	85	81	83	82	80	83	82	85	82	79	76	73	79	72	63	71	73	83	84	82	83	50	81
