name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work	overall
Ivan Rakitić	36	184	78	R	B	CM	["CM","DM"]	Hajduk Split	2025	82	76	76	78	66	66	82	69	84	70	87	87	86	86	81	87	83	85	88	69	71	85	82	76	50	81	80
Amir Kadri Rrahmani	30	192	75	R	B	CBT	["CBT"]	Napoli	2027	63	85	85	73	88	66	84	62	70	76	75	70	66	61	61	68	66	61	62	81	82	73	69	78	50	79	80
Iñigo Ruiz de Galarreta Etxeberria	31	175	69	R	B	DM	["DM","CM"]	Athletic Club	2025	80	79	82	85	73	80	82	84	82	76	83	80	81	77	68	77	75	70	77	62	75	83	82	85	50	81	80
Allan Irénée Saint-Maximin	27	173	67	R	B	WF	["WF","SM"]	Fenerbahçe	2025	81	38	84	82	90	92	81	93	89	91	81	82	77	81	78	85	77	68	79	65	81	87	81	71	50	74	80
Davinson Sánchez Mina	28	187	81	R	B	CBT	["CBT"]	Galatasaray	2027	60	84	90	83	86	75	83	71	74	77	78	74	69	58	63	71	63	63	62	83	90	77	66	85	50	80	80
Diego Carlos Santos Silva	31	186	79	R	B	CBT	["CBT"]	Aston Villa	2026	65	83	89	71	74	66	84	67	75	72	80	78	69	61	62	77	66	77	62	81	85	78	70	77	50	82	80
Téji Tedy Savanier	32	172	69	R	B	AM	["AM","CM"]	Montpellier	2026	80	70	81	74	66	70	81	77	84	73	87	84	86	84	78	81	82	84	85	62	68	85	81	79	50	84	80
Kasper Peter Schmeichel	38	189	90	R	B	GK	["GK"]	Celtic	2025	31	83	82	72	62	62	83	72	59	55	66	70	70	70	36	82	45	63	49	56	77	66	54	79	82	76	80
William Silva de Carvalho	32	187	79	R	B	DM	["DM","AM","CM"]	Real Betis	2026	79	77	91	84	66	66	83	62	84	71	86	82	79	75	73	79	72	62	85	76	76	84	80	82	50	81	80
Mohamed Simakan	24	187	82	R	B	CBT	["CBT","SB"]	Al Nassr	2027	71	81	85	83	80	77	85	73	76	76	79	72	73	66	62	68	63	62	62	83	90	77	82	83	50	73	80
Sebastian Szymański	25	174	60	L	B	AM	["AM","CM"]	Fenerbahçe	2027	83	62	74	85	80	85	81	86	81	80	82	82	81	82	80	82	77	78	85	67	75	81	81	78	50	80	80
Mehdi Taremi مهدی طارمی	32	187	83	R	B	CF	["CF"]	Inter	2026	86	47	83	83	80	82	85	80	85	82	84	81	75	76	86	79	80	62	78	80	83	86	85	71	50	77	80
James Alan Tarkowski	32	188	81	R	B	CBT	["CBT"]	Everton	2026	60	84	88	74	66	66	81	62	68	60	73	70	73	67	61	68	61	63	62	84	83	71	66	81	50	83	80
Jean-Clair Dimitri Roger Todibo	24	190	88	R	B	CBT	["CBT"]	West Ham United	2025	61	83	85	78	89	78	82	69	77	81	81	73	69	61	62	68	64	62	62	83	90	78	67	78	50	80	80
Ivan Benjamin Elijah Toney	28	187	76	R	B	CF	["CF"]	Al Ahli Jeddah	2028	83	53	84	80	81	79	81	79	79	79	80	82	71	76	85	85	79	76	68	83	92	81	81	82	50	83	80
Ferran Torres García	24	184	77	R	B	WF	["WF","SM","CF"]	FC Barcelona	2027	85	40	77	78	84	88	84	87	84	84	81	81	82	81	83	82	80	70	79	81	86	84	84	72	50	77	80
Hamari Traoré	32	175	64	R	B	SB	["SB"]	Real Sociedad	2026	79	76	80	90	86	83	81	81	81	83	80	77	81	79	63	76	67	62	78	77	85	81	81	85	50	77	80
Lars Unnerstall	34	198	103	R	B	GK	["GK"]	FC Twente	2027	31	83	89	71	62	62	85	68	58	55	61	65	63	65	35	71	43	61	49	55	77	65	52	73	83	67	80
André Miguel Valente da Silva	29	185	84	R	B	CF	["CF"]	RB Leipzig	2026	86	45	80	82	76	79	86	80	85	79	83	83	71	75	83	85	83	68	80	86	91	86	86	81	50	82	80
Hans Vanaken	32	195	77	R	B	AM	["AM","CM"]	Club Brugge	2027	86	61	79	91	66	66	85	65	85	71	88	83	84	80	85	79	82	81	81	87	79	87	85	79	50	81	80
Jordan Marcel Gilbert Veretout	31	177	67	R	B	CM	["CM","DM"]	Olympique Lyonnais	2026	81	76	83	85	79	78	83	78	82	79	84	85	81	81	77	85	78	78	77	68	80	83	83	84	50	81	80
Timo Werner	28	180	76	R	B	WF	["WF","SM","CF"]	Tottenham Hotspur	2025	85	41	74	85	90	94	83	88	83	87	82	83	71	79	80	85	81	68	74	81	87	83	83	78	50	78	80
Mats Wieffer	25	188	78	R	B	DM	["DM","CM"]	Brighton & Hove Albion	2029	74	75	84	87	77	72	83	72	80	77	82	80	78	76	70	79	76	63	74	80	86	83	80	87	50	79	80
Axel Laurent Angel Lambert Witsel	35	186	81	R	B	CBT	["CBT"]	Atlético Madrid	2025	74	87	83	76	66	66	86	67	82	68	87	78	79	71	71	69	75	73	75	85	79	84	79	77	50	83	80
Barış Alper Yılmaz	24	186	80	R	B	SM	["SM","SB","WB"]	Galatasaray	2027	81	70	86	87	94	90	79	88	83	88	78	82	75	79	79	87	81	61	74	75	90	85	79	85	50	81	80
Warren Zaïre-Emery	18	178	68	R	B	CM	["CM","DM"]	Paris Saint Germain	2029	81	75	82	85	81	83	82	80	83	82	85	82	79	76	73	79	72	63	71	73	83	84	82	83	50	81	80
André-Frank Zambo Anguissa	29	184	83	R	B	DM	["DM","CM"]	Napoli	2025	83	79	89	91	79	79	85	79	79	79	81	79	74	73	71	78	72	61	65	75	86	80	85	89	50	82	80
Lucas Manuel Zelarayán	32	172	70	R	B	AM	["AM","CF","SS"]	Al Fateh	2026	82	54	78	85	75	76	82	83	85	80	83	82	80	81	79	82	83	89	85	65	72	86	82	76	50	77	80
Hakim Ziyech حكيم زياش	31	181	65	L	B	WF	["WF","SM","AM"]	Galatasaray	2025	81	54	75	75	77	79	81	82	84	80	84	84	85	85	78	85	83	84	90	64	67	85	81	77	50	82	80
Igor Zubeldía Elorza	27	181	73	R	B	CBT	["CBT"]	Real Sociedad	2029	70	83	84	83	83	79	85	78	77	79	83	81	76	74	70	79	67	72	77	78	87	78	76	85	50	82	80
Karim-David Adeyemi	22	180	77	L	B	WF	["WF","SM","CF"]	Borussia Dortmund	2027	81	38	78	83	96	96	81	92	84	90	79	79	75	77	78	79	78	71	72	76	91	83	81	76	50	76	79
Nayef Aguerd نايف أكرد	28	190	76	L	B	CBT	["CBT"]	Real Sociedad	2025	65	84	79	76	80	66	84	62	73	72	79	76	70	65	62	74	65	62	62	84	84	79	71	78	50	79	79
Rayan Aït Nouri ريان آيت نوري	23	180	70	L	B	SB	["SB","SM","WB"]	Wolverhampton Wanderers	2026	78	75	75	82	86	87	81	85	85	86	80	73	78	73	61	68	66	67	76	71	80	84	81	78	50	76	79
Raúl Albiol Tortajada	39	190	82	R	B	CBT	["CBT"]	Villarreal	2025	55	86	81	72	66	66	83	62	74	61	80	74	69	59	63	70	64	63	62	81	76	78	60	77	50	82	79
Kepa Arrizabalaga Revuelta	30	189	85	R	B	GK	["GK"]	AFC Bournemouth	2025	31	82	79	71	62	62	85	67	58	55	69	73	71	72	34	85	43	62	49	56	76	66	51	76	82	73	79
Emil Audero Mulyadi	27	192	83	R	B	GK	["GK"]	Como	2028	31	81	79	71	62	62	85	71	58	55	61	67	64	67	37	77	43	61	49	55	79	65	51	73	81	64	79
Luis Ezequiel Ávila	30	172	81	R	B	CF	["CF","SM","WF"]	Real Betis	2027	82	48	88	81	82	78	82	76	82	82	77	81	69	76	83	87	81	67	64	85	93	81	82	85	50	82	79
César Azpilicueta Tanco	35	178	77	R	B	CBT	["CBT","SB"]	Atlético Madrid	2025	76	81	76	78	66	69	86	71	78	67	83	77	82	77	63	73	68	68	73	83	83	81	86	82	50	79	79
Alejandro Baena Rodríguez	23	175	70	R	B	SM	["SM","CF","CM"]	Villarreal	2028	83	69	71	80	80	81	83	81	84	82	85	83	83	82	79	80	79	83	81	67	75	84	83	79	50	82	79
Alexander Hartmann Bah	26	183	75	R	B	SB	["SB"]	Benfica	2027	78	74	81	87	93	90	82	85	79	86	76	79	77	81	68	84	70	71	79	76	85	78	81	86	50	81	79
Saint-Cyr Johan Bakayoko	21	179	70	L	B	WF	["WF","SM"]	PSV	2026	79	37	74	73	87	90	81	89	84	87	76	75	73	77	77	74	77	66	82	67	74	83	81	66	50	73	79
Leonardo Julián Balerdi Rossa	25	187	85	R	B	CBT	["CBT"]	Olympique de Marseille	2026	62	84	82	76	81	72	82	70	76	75	81	74	69	59	62	68	66	62	62	81	85	81	67	80	50	81	79
Éver Maximiliano David Banega	36	176	78	R	B	CM	["CM","DM","AM"]	Newell's Old Boys	2025	80	76	80	78	66	66	81	70	83	70	85	82	85	81	77	80	77	81	85	66	66	83	81	82	50	83	79
Abdülkerim Bardakcı	30	185	80	L	B	CBT	["CBT","SB"]	Galatasaray	2025	77	79	90	85	68	66	82	67	77	70	83	76	80	72	63	71	64	63	64	85	89	78	81	86	50	79	79
Yuri Berchiche Izeta	34	181	80	L	B	SB	["SB"]	Athletic Club	2025	75	77	85	85	81	84	83	81	79	79	81	82	79	82	70	85	76	66	83	78	90	81	83	86	50	78	79
Steven Berghuis	32	182	75	L	B	WF	["WF","SM","AM"]	Ajax	2025	83	48	74	76	71	82	82	83	84	76	85	85	85	85	85	85	82	81	87	63	66	85	82	77	50	83	79
Steven Charles Bergwijn	27	171	78	R	B	WF	["WF","SM"]	Al Ittihad	2027	82	50	87	72	81	85	83	82	86	83	83	84	76	81	79	85	81	73	82	70	79	85	83	68	50	76	79
Cristiano Biraghi	32	185	78	L	B	SB	["SB","CBT"]	Fiorentina	2025	81	78	75	83	76	77	83	76	81	78	81	82	83	86	68	85	75	89	85	76	79	82	83	82	50	79	79
Marco Bizot	33	193	88	R	B	GK	["GK"]	Stade Brestois 29	2026	31	83	82	71	62	62	83	70	58	55	62	66	65	66	37	76	43	62	49	56	78	66	53	70	82	70	79
Sacha Boey	24	178	76	R	B	SB	["SB"]	FC Bayern München	2028	77	80	82	85	83	87	83	87	79	81	78	76	73	72	61	74	70	61	66	68	84	80	82	85	50	76	79
Giacomo Bonaventura	35	180	75	R	B	AM	["AM","CM"]	Al Shabab	2025	83	72	74	78	70	70	83	74	84	76	85	85	83	84	80	86	83	82	81	76	73	85	83	76	50	81	79
Jarrad Paul Branthwaite	22	195	74	L	B	CBT	["CBT"]	Everton	2025	56	83	81	77	80	69	82	63	70	71	81	73	66	53	61	68	63	61	62	81	85	75	63	79	50	80	79
Brian Ebenezer Adjei Brobbey	22	180	78	R	B	CF	["CF"]	Ajax	2027	84	36	94	71	90	85	82	77	78	82	77	79	61	64	82	82	75	61	62	76	93	81	82	72	50	75	79
Marcin Bułka	25	199	90	R	B	GK	["GK"]	Nice	2026	31	82	87	71	62	62	83	68	58	55	61	66	64	66	31	75	43	61	49	55	78	65	49	72	81	68	79
Matheus Santos Carneiro da Cunha	25	183	76	R	B	AM	["AM","CF","SS"]	Wolverhampton Wanderers	2027	83	49	77	83	88	85	83	85	86	87	83	84	79	82	83	85	82	72	80	75	84	85	83	81	50	81	79
Matthew Stuart Cash	27	185	74	R	B	SB	["SB"]	Aston Villa	2027	79	78	74	88	80	79	83	78	80	79	79	79	79	80	73	80	70	62	74	62	73	81	83	87	50	79	79
Valentín Mariano José Castellanos Giménez	26	178	70	R	B	CF	["CF"]	Lazio	2028	85	49	75	88	79	79	83	79	84	81	83	82	69	73	86	82	80	73	70	86	89	84	83	88	50	84	79
Alejandro Catena Marugán	30	194	82	R	B	CBT	["CBT"]	Osasuna	2028	54	83	81	81	70	69	81	68	65	66	83	74	71	55	61	68	63	61	62	85	87	76	61	81	50	78	79
Daniel Ceballos Fernández	28	179	70	R	B	CM	["CM","AM"]	Real Madrid	2027	82	74	74	81	66	74	82	77	86	75	85	82	81	79	74	79	77	74	80	62	66	86	81	80	50	82	79
Benjamin James Chilwell	27	181	77	L	B	SB	["SB"]	Chelsea	2027	81	76	74	82	81	76	81	75	82	81	83	79	82	80	67	76	71	74	79	71	77	83	81	80	50	79	79
Jordy Clasie	33	170	68	R	B	DM	["DM","CM"]	AZ Alkmaar	2025	75	77	79	77	67	66	82	71	79	72	85	83	83	79	65	81	76	75	79	62	66	81	80	78	50	78	79
Dante Bonfim da Costa Santos	41	188	89	L	B	CBT	["CBT"]	Nice	2025	61	86	88	75	66	66	86	62	76	62	83	75	75	66	63	68	66	66	62	83	79	82	66	78	50	83	79
Charles De Ketelaere	23	192	79	L	B	AM	["AM","CF","SS"]	Atalanta	2027	81	55	73	85	74	74	80	78	85	79	82	82	80	81	80	83	82	77	77	79	80	85	80	75	50	77	79
Marten Elco de Roon	33	186	76	R	B	CM	["CM","DM","CBT"]	Atalanta	2026	79	82	82	92	73	66	87	65	82	76	87	83	81	76	74	80	77	66	67	81	81	83	83	89	50	80	79
Romain Del Castillo	28	172	65	L	B	WF	["WF","SM"]	Stade Brestois 29	2027	81	45	76	73	90	82	78	87	84	87	83	82	81	81	79	81	79	76	85	71	78	83	78	74	50	80	79
Ermedin Demirović	26	185	84	R	B	CF	["CF","SM","WF"]	VfB Stuttgart	2028	85	46	80	88	74	74	84	74	82	77	82	84	74	80	85	86	81	64	77	76	81	83	84	84	50	82	79
Sergiño Gianni Dest	24	173	68	R	B	SB	["SB"]	PSV	2028	79	74	76	81	92	91	81	90	84	89	83	76	78	75	68	70	69	61	78	68	79	83	81	79	50	78	79
Boulaye Dia	28	180	75	R	B	CF	["CF","AM","SS"]	Lazio	2026	83	44	84	78	85	81	81	80	81	84	79	82	67	73	85	86	79	61	62	78	89	81	81	75	50	77	79
Samuel Dias Lino	24	178	69	R	B	WF	["WF","SM"]	Atlético Madrid	2027	81	57	75	88	85	87	81	87	84	85	81	79	78	78	78	79	74	66	74	68	78	83	81	78	50	76	79
Lucas Digne	31	178	74	L	B	SB	["SB"]	Aston Villa	2026	79	77	77	83	74	79	81	78	81	77	81	82	83	86	69	84	77	85	85	77	83	81	81	82	50	80	79
Stole Dimitrievski Столе Димитриевски	30	188	84	R	B	GK	["GK"]	Valencia	2026	31	81	82	71	62	62	81	68	58	55	61	67	65	67	40	78	43	61	49	55	78	65	54	72	82	69	79
Axel Arthur Disasi	26	190	86	R	B	CBT	["CBT","SB"]	Chelsea	2029	68	78	90	76	68	66	82	62	70	65	78	75	67	65	62	74	62	62	62	83	85	74	81	79	50	71	79
Alexander Kwabena Baidoo Djiku	30	182	81	R	B	CBT	["CBT","DM"]	Fenerbahçe	2026	70	80	85	81	78	77	83	75	76	74	80	74	75	69	62	69	64	62	66	81	90	79	80	83	50	74	79
Cheick Oumar Doucouré	24	180	73	R	B	DM	["DM","CM"]	Crystal Palace	2026	76	77	79	77	72	68	83	71	80	76	81	74	72	63	66	68	67	61	65	67	75	81	80	81	50	79	79
Lewis Carl Dunk	33	192	88	R	B	CBT	["CBT"]	Brighton & Hove Albion	2026	54	83	86	76	66	66	83	62	76	64	83	79	71	63	62	76	69	76	66	84	80	80	60	81	50	84	79
Hugo Duro Perales	25	177	70	L	B	CF	["CF"]	Valencia	2028	82	49	80	81	78	76	81	75	78	77	76	77	73	76	82	80	76	62	62	83	89	78	81	77	50	77	79
Marcus Edwards	25	167	71	L	B	WF	["WF","SM","CF"]	Sporting CP	2026	79	40	79	78	86	89	81	91	85	86	77	75	72	75	76	74	77	68	79	61	66	85	81	68	50	73	79
Stephan Kareem El Shaarawy	32	178	73	R	B	WF	["WF","SM","AM"]	Roma	2025	83	61	76	72	81	85	85	89	87	84	82	79	79	79	78	79	85	78	87	73	80	87	85	67	50	76	79
Eljif Elmas Елиф Елмас	25	184	78	R	B	AM	["AM","CM","WF","SM"]	RB Leipzig	2028	81	67	71	75	74	80	82	83	85	79	83	82	78	77	76	82	75	65	69	68	76	85	82	76	50	79	79
Aritz Elustondo Irribaria	30	180	71	R	B	SB	["SB","CBT"]	Real Sociedad	2026	69	80	80	76	72	66	85	65	70	67	83	75	74	69	61	68	65	61	62	83	85	81	85	80	50	66	79
Lewis Ferguson	25	181	75	R	B	CM	["CM","AM"]	Bologna	2027	83	73	79	93	79	78	78	79	83	80	82	82	77	76	81	81	81	73	74	80	86	85	78	89	50	85	79
Mark Flekken	31	195	87	R	B	GK	["GK"]	Brentford	2027	31	82	84	72	62	62	84	68	59	55	63	69	68	71	39	84	43	63	49	56	77	66	54	68	82	67	79
Emil Peter Forsberg	33	177	76	R	B	AM	["AM","SM","WF"]	New York RB	2026	82	41	74	73	68	69	83	72	86	76	86	80	83	79	79	75	77	81	82	63	66	87	83	72	50	79	79
Chris Jan Führich	26	181	70	R	B	WF	["WF","SM","AM"]	VfB Stuttgart	2028	78	58	76	80	82	89	81	90	87	85	79	76	75	75	76	74	76	71	80	65	71	85	81	74	50	74	79
Álvaro García Rivera	32	167	61	L	B	WF	["WF","SM","AM"]	Rayo Vallecano	2026	81	57	80	76	90	90	82	90	80	85	80	76	79	77	79	73	68	61	73	61	66	80	82	67	50	75	79
Alejandro Garnacho Ferreyra	20	180	72	R	B	WF	["WF","SM"]	Manchester United	2028	81	44	78	81	86	90	81	89	83	85	81	81	73	80	81	81	79	69	79	61	66	83	81	77	50	77	79
Lutsharel Geertruida	24	185	70	R	B	CBT	["CBT","SB"]	RB Leipzig	2029	77	79	83	81	77	80	82	79	81	78	81	73	78	68	73	68	65	62	62	83	90	82	81	80	50	76	79
Morgan Anthony Gibbs-White	24	179	72	R	B	AM	["AM"]	Nottingham Forest	2027	81	63	77	82	77	80	82	83	83	80	83	82	82	81	79	80	78	77	80	68	78	83	82	78	50	79	79
Carles Gil de Pareja Vicent	32	170	65	L	B	AM	["AM","SM","WF"]	New England	2027	82	45	72	86	72	78	83	77	83	77	85	76	81	74	78	68	78	78	83	62	66	83	83	72	50	77	79
Santiago Tomás Giménez	23	183	68	L	B	CF	["CF"]	Feyenoord	2027	84	55	79	75	83	80	79	79	81	82	79	82	74	77	85	85	78	63	76	83	84	81	79	78	50	83	79
Moisés Gómez Bordonado	30	176	73	R	B	CM	["CM","SM"]	Osasuna	2027	81	66	71	81	67	75	81	76	82	74	83	80	83	79	81	77	78	77	85	64	69	83	81	72	50	76	79
João Pedro Gonçalves Neves	20	174	66	R	B	CM	["CM","DM"]	Paris Saint Germain	2029	81	75	82	90	83	85	83	85	83	83	84	81	78	74	74	77	75	63	76	74	85	83	83	87	50	81	79
Robin Everardus Gosens	30	183	76	L	B	SB	["SB","SM","WB"]	Fiorentina	2025	83	75	79	89	74	79	83	77	81	76	82	80	81	79	83	79	76	68	74	83	90	82	83	87	50	81	79
Mason Will John Greenwood	23	181	70	L	B	WF	["WF","SM","CF"]	Olympique de Marseille	2029	80	40	72	73	85	85	77	86	84	85	81	84	77	82	83	88	81	79	81	71	79	83	77	67	50	74	79
Gorka Guruzeta Rodríguez	28	188	80	R	B	CF	["CF"]	Athletic Club	2028	82	52	85	83	79	79	82	79	82	80	81	83	72	79	83	85	81	63	76	83	90	83	82	80	50	79	79
Sébastien Romain Teddy Haller	30	191	90	R	B	CF	["CF"]	Leganés	2025	86	53	86	72	66	66	85	68	82	70	82	83	62	68	85	85	80	63	63	86	86	85	85	72	50	80	79
Dean Bradley Henderson	27	188	85	R	B	GK	["GK"]	Crystal Palace	2028	31	82	79	71	62	62	84	75	58	58	62	68	67	69	33	81	43	62	49	56	79	66	50	74	82	72	79
Franck Honorat	28	180	70	R	B	WF	["WF","SM"]	Borussia Mönchengladbach	2028	78	56	72	86	83	83	78	82	82	82	79	84	84	90	79	90	80	69	83	68	73	82	78	77	50	75	79
Hiroki Ito 伊藤 洋輝	25	188	84	L	B	CBT	["CBT","SB"]	FC Bayern München	2028	73	81	81	76	79	81	85	76	78	76	81	81	79	77	62	81	69	62	62	79	88	81	85	77	50	72	79
Nicolas Jackson	23	187	78	R	B	CF	["CF"]	Chelsea	2033	84	44	83	83	87	85	82	84	84	87	81	81	70	74	84	80	80	63	70	80	91	83	82	78	50	79	79
Curtis Jones	23	185	75	R	B	CM	["CM","AM","DM"]	Liverpool	2027	81	74	77	84	73	73	82	76	85	79	85	82	76	75	78	79	78	62	78	63	73	84	82	81	50	80	79
Luka Jović Лука Јовић	26	181	85	R	B	CF	["CF"]	Milan	2025	83	35	83	71	78	79	83	79	82	79	77	80	71	78	83	84	82	66	80	84	91	83	83	70	50	76	79
İrfan Can Kahveci	29	176	75	L	B	WF	["WF","SM","AM","CM"]	Fenerbahçe	2025	79	62	78	74	77	79	78	80	84	80	83	84	83	85	81	85	82	83	87	63	68	84	78	74	50	79	79
Lukas Manuel Klostermann	28	187	88	R	B	CBT	["CBT","SB"]	RB Leipzig	2028	78	81	80	79	85	84	84	76	77	80	79	72	74	70	66	68	64	62	62	81	90	78	84	78	50	72	79
Robin Leon Koch	28	192	85	R	B	CBT	["CBT"]	Eintracht Frankfurt	2027	65	84	82	76	77	66	83	66	74	71	81	73	68	56	62	68	64	62	62	83	83	78	71	79	50	83	79
Sead Kolašinac	31	183	85	L	B	CBT	["CBT","SB"]	Atalanta	2025	77	78	89	76	73	66	81	65	76	72	78	77	75	78	69	79	67	62	67	79	85	78	81	81	50	78	79
Geoffrey Edwin Kondogbia	31	188	76	L	B	DM	["DM","CBT"]	Olympique de Marseille	2027	76	80	89	81	73	71	81	71	81	75	83	84	77	77	74	85	74	71	69	79	86	83	76	83	50	80	79
Érik Manuel Lamela	32	184	75	L	B	WF	["WF","SM","AM"]	AEK Athens	2027	83	57	76	75	79	80	83	82	87	83	83	83	82	82	80	84	82	85	86	70	79	86	83	82	50	85	79
Noa Noëll Lang	25	179	69	R	B	WF	["WF","SM","AM"]	PSV	2028	80	54	78	83	82	88	81	89	86	85	80	78	74	75	81	76	82	66	79	61	75	85	81	80	50	78	79
Manuel Lazzari	31	174	67	R	B	SB	["SB"]	Lazio	2027	80	74	78	87	94	93	82	92	84	89	82	74	83	74	74	68	71	68	73	62	71	84	82	80	50	77	79
Kang-in Lee 이강인	23	173	66	L	B	AM	["AM","CM","WF","SM"]	Paris Saint Germain	2028	81	53	77	78	78	79	81	83	85	81	83	82	83	82	80	82	80	81	85	73	75	85	81	78	50	81	79
Pierre Lees-Melou	31	186	70	R	B	DM	["DM","CM"]	Stade Brestois 29	2025	81	76	76	90	67	69	83	73	82	74	83	82	82	81	76	80	76	76	81	68	74	83	82	84	50	80	79
Mario René Junior Lemina	31	184	85	R	B	DM	["DM","CM"]	Wolverhampton Wanderers	2025	77	78	79	86	75	72	83	73	81	77	83	82	79	79	68	83	76	73	80	83	85	81	82	85	50	79	79
Jefferson Andrés Lerma Solís	30	179	70	R	B	DM	["DM","CM","CBT"]	Crystal Palace	2026	75	77	79	85	79	73	83	73	79	78	81	83	75	77	72	85	76	73	72	78	89	81	80	87	50	77	79
Philipp Lienhart	28	189	85	R	B	CBT	["CBT"]	SC Freiburg	2027	57	85	81	73	78	68	83	68	72	71	79	72	67	56	62	68	63	62	62	86	87	76	63	77	50	81	79
Matheus Lima Magalhães	32	190	84	R	B	GK	["GK"]	Sporting Braga	2027	31	82	82	71	62	62	83	69	58	55	61	69	66	71	34	84	43	61	49	55	81	65	52	69	82	68	79
Hugo Hadrien Dominique Lloris	37	188	82	L	B	GK	["GK"]	Los Angeles FC	2024	31	84	79	73	62	62	86	70	60	57	65	66	68	66	35	74	43	63	49	57	78	67	51	74	84	72	79
Pedro Lomba Neto	24	173	62	L	B	WF	["WF","SM"]	Chelsea	2031	79	45	79	76	91	93	78	92	84	89	80	81	74	80	79	82	78	70	77	61	76	83	78	71	50	75	79
Anthony Lopes	34	184	81	L	B	GK	["GK"]	Olympique Lyonnais	2025	31	83	81	72	69	70	85	77	59	61	63	64	64	64	40	70	43	63	49	56	82	66	51	77	83	72	79
Pau López Sabata	29	189	77	L	B	GK	["GK"]	Girona	2025	31	82	80	71	62	62	85	67	58	56	71	72	69	70	40	82	46	62	49	56	76	66	55	75	81	75	79
Castello Junior Lukeba	21	184	73	L	B	CBT	["CBT"]	RB Leipzig	2029	62	84	81	73	74	75	83	75	79	75	83	74	74	63	62	68	64	62	62	81	87	79	68	77	50	82	79
Dodi Lukébakio Ngandoli	27	187	77	L	B	WF	["WF","SM","CF"]	Sevilla	2028	81	40	74	73	89	85	81	84	86	88	78	81	74	82	81	85	81	75	80	66	78	85	81	66	50	74	79
Robert Lynch Sánchez	27	197	90	R	B	GK	["GK"]	Chelsea	2030	31	82	86	71	70	62	83	68	58	62	63	68	67	68	34	79	46	61	49	55	80	65	53	76	81	73	79
Ian Ethan Maatsen	22	178	57	L	B	SB	["SB"]	Aston Villa	2029	76	73	77	78	87	90	81	89	83	85	83	79	78	78	71	76	73	70	75	67	74	83	81	78	50	76	79
Pablo Carmine Maffeo Becerra	27	172	70	R	B	SB	["SB"]	Mallorca	2026	75	77	79	76	83	87	78	83	83	83	79	72	78	73	63	68	66	61	75	76	84	83	78	75	50	73	79
José Pedro Malheiro de Sá	31	192	84	R	B	GK	["GK"]	Wolverhampton Wanderers	2027	31	82	84	71	62	62	83	74	58	57	62	66	64	66	37	74	43	62	49	56	79	66	54	69	81	68	79
Omar Khaled Mohamed Marmoush	25	183	81	R	B	CF	["CF","WF","SM"]	Eintracht Frankfurt	2027	85	37	79	81	92	88	83	90	87	90	84	84	72	76	86	85	83	87	80	75	83	87	83	80	50	83	79
Arnau Martínez López	21	182	72	R	B	SB	["SB","CBT"]	Girona	2027	73	73	71	81	81	85	82	82	79	79	82	74	78	73	61	68	65	61	73	78	85	80	82	77	50	72	79
Adam Marušić Адам Марушић	32	185	81	R	B	SB	["SB"]	Lazio	2025	77	76	84	83	89	88	81	79	80	84	77	79	73	81	66	82	77	65	79	81	93	81	81	82	50	75	79
Jean-Philippe Mateta	27	192	88	R	B	CF	["CF"]	Crystal Palace	2026	81	43	90	73	85	73	80	67	80	82	80	82	63	71	85	85	76	61	67	80	89	81	80	79	50	80	79
Borja Mayoral Moya	27	182	74	R	B	CF	["CF"]	Getafe	2027	84	44	76	73	75	74	81	75	82	77	81	82	73	76	85	83	80	76	76	86	86	83	81	68	50	75	79
Chancel Mbemba Mangulu	30	182	81	R	B	CBT	["CBT"]	Olympique de Marseille	2025	70	83	83	79	77	73	81	72	75	74	79	79	73	74	66	79	64	62	62	81	86	78	75	81	50	81	79
Callum William McGregor	31	178	74	L	B	DM	["DM","CM"]	Celtic	2028	82	76	82	92	79	84	83	85	82	79	85	84	78	77	78	82	81	71	79	62	76	85	83	88	50	82	79
Álvaro Medrán Just	30	178	71	R	B	CM	["CM","AM"]	Al Ettifaq	2027	78	68	75	83	68	66	81	74	82	74	85	83	84	82	73	81	79	79	83	69	74	83	81	72	50	74	79
Nikola Milenković	27	195	90	R	B	CBT	["CBT"]	Nottingham Forest	2029	54	83	89	81	66	68	83	63	73	63	76	70	74	68	62	68	64	62	62	85	90	76	59	84	50	84	79
Takumi Minamino 南野 拓実	29	172	67	R	B	AM	["AM","SM","WF"]	Monaco	2026	81	44	77	78	78	86	81	88	83	81	82	79	75	75	80	75	79	75	79	63	74	83	81	75	50	78	79
Tyrone Deon Mings	31	196	77	L	B	CBT	["CBT"]	Aston Villa	2026	65	82	87	71	76	66	81	62	74	74	80	73	78	71	62	68	62	62	62	81	84	74	70	79	50	82	79
Maximilian Mittelstädt	27	180	71	L	B	SB	["SB","SM","WB"]	VfB Stuttgart	2028	77	77	76	83	74	82	85	81	82	77	82	79	80	80	66	78	71	62	80	73	79	81	83	83	50	76	79
