name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work
Marc Jurado Gómez	20	178	65	R	B	SB	["SB","SM","WB"]	Espanyol	2028	69	62	74	71	79	79	68	81	70	74	71	68	70	69	64	68	61	63	70	62	68	70	68	66	50	68
Rafel Bauzà Sureda	19	183	74	R	B	DM	["DM","CM"]	Espanyol	2026	64	65	68	71	69	68	70	65	69	68	70	67	65	61	61	68	61	61	62	66	69	70	69	71	50	67
Joan Puig Mateos	22	184	75	L	B	SB	["SB","CBT"]	Espanyol	2025	65	62	68	71	79	79	68	76	69	72	69	66	66	64	61	68	61	61	62	66	75	69	68	69	50	66
Naci Ünüvar	21	168	63	R	B	WF	["WF","SM","AM"]	Espanyol	2025	69	47	73	71	66	75	71	77	78	71	75	71	73	70	71	68	68	73	78	61	66	79	71	63	50	69
Alex Almansa López	21	186	76	L	B	WF	["WF","SM"]	Espanyol	2026	68	45	68	71	81	85	66	83	71	75	71	67	69	67	68	68	62	61	64	66	78	71	66	67	50	67
Justin Smith	21	188	79	R	B	DM	["DM","CM"]	Espanyol	2026	62	63	75	71	66	66	65	63	67	60	71	68	63	59	61	68	61	61	62	68	72	69	65	70	50	65
Llorenç Serred Martínez	19	186	76	R	B	GK	["GK"]	Espanyol	2027	31	68	73	71	62	62	69	60	58	55	61	63	61	63	31	66	43	61	49	55	66	65	42	58	68	58
Marc-André ter Stegen	32	187	85	R	B	GK	["GK"]	FC Barcelona	2028	31	90	86	73	62	62	93	71	61	55	72	76	75	75	39	90	43	64	49	58	84	68	56	84	89	82
Pau Cubarsí Paredes	17	182	75	R	B	CBT	["CBT"]	FC Barcelona	2026	60	79	68	74	74	70	79	70	78	74	82	74	68	49	61	68	65	61	62	81	80	80	65	74	50	74
Alejandro Balde Martínez	21	175	69	L	B	SB	["SB","SM","WB"]	FC Barcelona	2028	76	77	73	81	92	91	84	88	84	87	85	75	81	73	63	68	66	63	62	76	83	84	84	71	50	71
Ronald Federico Araújo da Silva	25	188	79	R	B	CBT	["CBT","SB"]	FC Barcelona	2026	74	83	89	79	88	79	88	71	72	75	81	76	72	68	68	73	62	63	62	88	93	76	88	84	50	76
Íñigo Martínez Berridi	33	182	76	L	B	CBT	["CBT"]	FC Barcelona	2025	66	86	85	76	76	74	85	73	71	69	81	82	75	72	63	84	71	78	76	85	89	80	71	82	50	82
Pablo Martín Páez Gavira	20	173	70	R	B	CM	["CM","WF","SM"]	FC Barcelona	2026	86	68	79	87	79	80	88	84	88	83	87	76	81	68	78	68	73	63	78	63	68	88	88	87	50	86
Ferran Torres García	24	184	77	R	B	WF	["WF","SM","CF"]	FC Barcelona	2027	85	40	77	78	84	88	84	87	84	84	81	81	82	81	83	82	80	70	79	81	86	84	84	72	50	77
Pedro González López	22	174	60	R	B	CM	["CM","WF","SM"]	FC Barcelona	2026	86	72	84	90	79	82	90	86	90	84	90	81	83	73	79	73	75	72	82	63	77	90	90	81	50	82
Robert Lewandowski	36	185	81	R	B	CF	["CF"]	FC Barcelona	2026	92	45	90	83	79	79	92	80	91	83	88	88	81	85	93	90	88	88	82	91	93	93	92	84	50	88
Anssumane Fati Vieira	22	178	66	R	B	AM	["AM","SM","CF","SS","WF"]	FC Barcelona	2027	80	36	76	72	89	92	79	91	84	86	79	78	77	76	82	79	78	78	79	71	75	84	79	67	50	74
Raphael Dias Belloli	27	176	68	L	B	WF	["WF","SM"]	FC Barcelona	2027	87	56	76	88	92	91	87	90	89	90	85	85	83	85	84	85	82	83	84	80	85	88	87	85	50	85
Ignacio Peña Sotorres	25	184	78	R	B	GK	["GK"]	FC Barcelona	2026	31	78	77	71	62	62	79	67	58	55	61	68	68	69	30	80	43	61	49	55	73	65	49	66	77	65
Pablo Torre Carral	21	173	63	R	B	AM	["AM","SM","CM"]	FC Barcelona	2026	75	51	75	76	74	79	75	82	80	76	81	74	79	73	72	68	70	82	79	61	66	80	75	67	50	72
Andreas Bødtker Christensen	28	187	82	R	B	CBT	["CBT","DM"]	FC Barcelona	2026	71	84	81	79	79	66	88	66	79	76	86	76	73	60	63	68	66	63	62	84	83	83	87	80	50	73
Fermín López Marín	21	174	64	R	B	CM	["CM","WF","SM","AM"]	FC Barcelona	2029	82	58	75	76	77	79	80	82	81	79	81	78	69	65	81	74	72	65	62	80	74	81	80	71	50	76
Marc Casadó Torras	21	172	66	R	B	DM	["DM","CM","SB"]	FC Barcelona	2028	71	69	67	71	66	68	72	68	77	68	80	74	69	62	68	68	67	61	67	68	67	79	71	68	50	71
Pau Víctor Delgado	23	184	77	R	B	CF	["CF","AM","SS"]	FC Barcelona	2029	68	52	72	71	79	80	68	80	73	75	71	70	66	66	71	70	66	65	66	68	79	73	68	72	50	71
Lamine Yamal Nasraoui Ebana لامين يامال نصراوي إبانا	17	180	72	L	B	WF	["WF","SM"]	FC Barcelona	2026	84	33	72	72	84	86	84	88	88	86	85	83	79	83	83	83	76	73	84	63	66	88	84	65	50	77
Daniel Olmo Carvajal	26	179	72	R	B	AM	["AM","CM"]	FC Barcelona	2030	87	55	77	74	74	81	88	85	89	82	89	85	84	82	84	82	85	81	79	63	66	89	88	69	50	79
Frenkie de Jong	27	181	74	R	B	CM	["CM","DM"]	FC Barcelona	2026	85	76	79	90	85	83	90	86	90	87	92	82	87	77	79	73	78	73	86	79	85	90	90	85	50	85
Jules Olivier Koundé	26	180	75	R	B	SB	["SB","CBT"]	FC Barcelona	2027	76	85	83	83	85	87	88	81	81	82	85	75	80	69	63	68	65	63	69	84	91	82	88	83	50	75
Eric García Martret	23	182	76	R	B	CBT	["CBT","DM","SB"]	FC Barcelona	2026	69	80	76	73	73	66	83	68	77	72	85	75	74	61	62	68	65	62	70	80	79	81	82	77	50	74
Wojciech Tomasz Szczęsny	34	196	90	R	B	GK	["GK"]	FC Barcelona	2025	31	88	85	73	62	62	90	74	60	55	64	67	72	67	36	78	43	63	49	57	81	67	55	79	87	74
Ander Astralaga Aranguren	20	190	77	R	B	GK	["GK"]	FC Barcelona	2025	31	70	77	71	62	62	69	59	58	55	61	64	62	64	30	68	43	61	49	55	65	65	42	61	69	61
Marc Bernal Casas	17	191	78	L	B	DM	["DM","CM"]	FC Barcelona	2026	69	62	73	71	70	68	71	73	73	69	78	72	69	63	61	68	63	61	62	61	66	76	65	66	50	70
Héctor Fort García	18	185	78	R	B	SB	["SB","CBT"]	FC Barcelona	2026	64	66	73	71	79	74	70	71	68	71	71	68	72	67	61	68	61	61	62	71	74	70	68	72	50	67
Gerard Martín Langreo	22	186	76	L	B	SB	["SB","CBT"]	FC Barcelona	2025	64	65	71	71	74	74	74	68	67	68	68	70	64	71	61	74	61	68	62	73	75	68	71	70	50	63
Sergi Domínguez Viloria	19	188	78	R	B	CBT	["CBT"]	FC Barcelona	2027	46	68	75	71	67	67	67	62	65	64	65	64	58	49	61	68	59	61	62	67	74	65	45	65	50	58
Andrés Cuenca Cejudo	17	181	72	L	B	CBT	["CBT"]	FC Barcelona	2026	47	72	68	71	68	69	73	68	65	65	71	67	62	50	61	68	60	61	62	67	68	68	46	67	50	64
Rubén López Durán	20	175	70	L	B	CM	["CM"]	FC Barcelona	2025	63	58	72	71	68	68	67	64	66	66	73	68	65	61	61	68	59	61	62	71	67	66	67	71	50	68
Jiří Letáček	25	196	98	R	B	GK	["GK"]	Getafe	2028	31	75	85	71	62	62	76	64	58	55	61	64	62	64	36	70	43	61	49	55	75	65	44	62	75	60
Dakonam Ortega Djené	32	178	72	R	B	CBT	["CBT","CM","SB","DM"]	Getafe	2025	73	77	79	78	70	75	82	75	74	69	81	76	73	69	62	73	64	62	62	78	85	78	81	82	50	75
Fabrizio Germán Angileri	30	185	73	L	B	SB	["SB"]	Getafe	2026	75	68	81	82	79	79	73	78	74	76	73	79	75	81	68	87	74	76	81	71	83	75	73	79	50	76
Juan Berrocal González	24	184	72	R	B	CBT	["CBT"]	Getafe	2027	53	77	80	79	68	66	76	66	65	65	73	68	62	54	61	68	61	61	62	74	77	69	59	77	50	71
Luis Milla Manzanares	30	175	67	R	B	CM	["CM","DM"]	Getafe	2027	81	77	77	85	73	77	84	75	81	76	83	81	82	79	76	79	74	81	79	62	72	82	83	82	50	81
Christantus Ugonna Uche Uche	21	190	80	R	B	CF	["CF","DM"]	Getafe	2028	73	66	85	83	76	72	73	72	75	75	73	74	64	61	73	76	64	61	62	77	87	76	73	81	50	73
Alejandro Sola López-Ocaña	25	178	75	R	B	SM	["SM","SB","WB"]	Getafe	2027	72	65	73	87	80	82	72	78	77	78	76	70	73	68	74	68	64	61	67	70	79	77	72	82	50	72
Mauro Wilney Arambarri Rosa	29	175	74	R	B	DM	["DM","CM"]	Getafe	2028	73	79	80	83	66	72	81	72	79	69	80	82	75	77	66	85	76	76	79	70	79	80	80	83	50	76
Borja Mayoral Moya	27	182	74	R	B	CF	["CF"]	Getafe	2027	84	44	76	73	75	74	81	75	82	77	81	82	73	76	85	83	80	76	76	86	86	83	81	68	50	75
Bertuğ Özgür Yıldırım	22	186	78	R	B	CF	["CF"]	Getafe	2025	72	41	79	73	77	71	68	70	72	72	70	71	58	59	73	74	66	61	62	76	81	76	68	74	50	72
Carles Aleñá Castillo	26	180	73	L	B	CM	["CM","SM","AM"]	Getafe	2026	81	64	71	71	72	73	80	75	80	75	78	75	75	72	75	73	72	71	74	61	66	81	80	68	50	75
Allan-Roméo Nyom	36	189	80	R	B	SB	["SB","CBT","SM","WB"]	Getafe	2025	78	71	87	81	80	78	76	68	74	75	75	76	73	74	63	78	68	61	75	73	86	76	75	84	50	81
David Soria Solís	31	192	85	R	B	GK	["GK"]	Getafe	2026	31	84	85	71	62	62	85	71	58	55	62	67	65	67	40	77	43	62	49	56	82	66	54	76	83	71
Omar Federico Alderete Fernández	27	188	77	L	B	CBT	["CBT"]	Getafe	2028	67	82	84	77	69	68	81	71	75	72	76	76	70	71	65	78	68	63	62	82	86	75	72	79	50	77
Diego Rico Salguero	31	183	78	L	B	SB	["SB"]	Getafe	2026	78	78	83	78	78	76	83	72	79	78	83	81	81	82	61	79	71	80	79	76	85	79	79	78	50	79
Carles Pérez Sayol	26	173	75	L	B	WF	["WF","SM"]	Getafe	2025	79	45	78	71	82	84	80	84	84	82	80	83	73	80	78	87	78	73	68	70	79	85	80	68	50	72
Álvaro Daniel Rodríguez Muñoz	20	193	81	L	B	CF	["CF","WF","SM"]	Getafe	2025	70	31	69	71	73	72	70	70	72	72	73	71	65	70	72	70	66	61	62	80	82	71	70	63	50	66
Peter Federico González Carmona	22	180	71	L	B	WF	["WF","SM"]	Getafe	2028	72	46	72	71	83	82	69	82	80	81	71	70	70	71	70	70	69	61	62	61	66	81	69	63	50	69
Jesús Santiago Pérez	20	192	75	R	B	DM	["DM","CM"]	Getafe	2025	65	69	66	71	66	66	73	66	65	62	71	68	64	60	61	68	62	61	62	70	70	69	73	69	50	68
Juan Antonio Iglesias Sánchez	26	187	77	R	B	SB	["SB"]	Getafe	2026	70	72	73	81	85	82	76	76	73	79	74	69	68	67	61	68	62	61	64	76	81	73	76	76	50	68
Domingos de Sousa Coutinho Meneses Duarte	29	190	80	R	B	CBT	["CBT"]	Getafe	2026	57	79	81	76	66	66	80	62	65	60	77	71	67	62	61	68	61	61	62	80	82	70	63	77	50	75
Alberto Risco Alcántara	19	178	68	L	B	AM	["AM"]	Getafe	2026	65	47	71	71	69	66	66	62	67	66	72	68	65	60	61	68	60	61	62	61	66	67	66	65	50	65
Nabil Aberdin	22	180	75	R	B	CBT	["CBT","DM"]	Getafe	2025	63	64	66	71	66	66	68	62	65	62	65	64	62	61	61	68	57	61	62	64	66	65	68	68	50	60
Gorka Rivera Alonso	20	184	78	L	B	SB	["SB","CBT"]	Getafe	2029	64	60	71	71	76	74	70	72	65	69	66	71	63	72	61	78	64	70	62	71	75	66	70	73	50	62
John Joe Patrick Finn Benoa	21	193	81	R	B	AM	["AM","SM","CF","SS","WF"]	Getafe	2025	71	31	77	71	74	78	71	73	72	72	70	67	60	53	73	68	64	61	62	65	78	73	71	63	50	66
David Argüelles Álvarez	22	175	71	L	B	SB	["SB"]	Getafe	2028	64	61	75	71	83	82	68	80	65	73	61	62	61	61	61	68	59	61	62	61	66	65	67	73	50	64
Diego Ferrer Martinez	17	185	76	R	B	GK	["GK"]	Getafe	2025	31	68	70	71	62	62	66	59	58	55	61	61	60	61	31	66	43	61	49	55	65	65	33	47	68	51
Juan Carlos Martín Corral	36	186	85	R	B	GK	["GK"]	Girona	2025	31	77	79	71	67	64	78	69	58	60	61	66	64	66	36	76	43	61	49	55	76	65	48	68	77	64
Miguel Gutiérrez Ortega	23	180	73	L	B	SB	["SB","SM","WB"]	Girona	2027	85	77	76	88	84	86	84	85	85	84	85	82	83	82	76	79	74	63	84	76	82	85	84	82	50	81
Arnau Martínez López	21	182	72	R	B	SB	["SB","CBT"]	Girona	2027	73	73	71	81	81	85	82	82	79	79	82	74	78	73	61	68	65	61	73	78	85	80	82	77	50	72
David López Silva	35	185	81	R	B	CBT	["CBT","DM"]	Girona	2026	73	81	83	71	66	66	83	62	75	63	83	81	74	70	63	79	69	61	62	84	83	79	81	76	50	77
Donny van de Beek	27	184	76	R	B	CM	["CM","AM","DM"]	Girona	2028	81	71	73	72	71	70	79	73	83	75	84	83	76	76	81	84	81	73	83	75	75	85	79	75	50	82
Cristhian Ricardo Stuani Curbelo	38	186	76	R	B	CF	["CF"]	Girona	2026	83	52	90	78	72	70	78	69	77	73	78	79	74	78	83	83	78	67	71	83	90	78	78	79	50	81
Viktor Tsygankov Циганков Віктор Віталійович	27	178	73	L	B	SM	["SM","CM","AM"]	Girona	2027	85	58	71	82	87	87	84	86	86	86	85	83	84	83	85	81	81	81	84	63	69	86	84	77	50	81
Abel Ruiz Ortega	24	180	75	R	B	CF	["CF","AM","SS"]	Girona	2029	80	49	78	84	81	79	80	79	80	80	79	79	71	73	81	80	78	66	64	77	85	81	80	71	50	74
Yaser Esneider Asprilla Martínez	21	180	75	L	B	WF	["WF","SM","AM"]	Girona	2030	76	58	70	74	81	83	74	85	79	80	78	78	77	78	76	78	72	63	78	61	68	78	74	68	50	72
Arnaut Danjuma Adam Groeneveld	27	178	74	R	B	CF	["CF","SM","WF"]	Girona	2025	82	48	77	71	90	85	83	85	82	86	81	80	76	79	79	79	79	68	82	77	87	82	83	71	50	77
Paulo Dino Gazzaniga Farias	32	196	90	R	B	GK	["GK"]	Girona	2027	31	85	82	72	62	63	85	77	59	58	63	70	70	72	36	85	43	63	49	56	80	66	55	77	85	76
Oriol Romeu Vidal	33	183	83	R	B	DM	["DM","CM"]	Girona	2025	75	79	85	80	66	66	83	63	76	66	83	82	69	68	62	81	65	64	63	78	81	79	81	83	50	79
Juan Pedro Ramírez López	33	190	80	R	B	CBT	["CBT"]	Girona	2025	52	78	85	74	66	66	76	62	65	60	77	71	65	53	61	68	61	68	62	81	85	71	57	76	50	75
Alejandro Francés Torrijo	22	181	70	R	B	CBT	["CBT","SB"]	Girona	2029	72	75	79	81	79	84	79	81	71	74	76	71	75	68	61	68	62	61	62	77	88	72	78	79	50	72
Daley Blind	34	180	72	L	B	CBT	["CBT","SB"]	Girona	2026	79	83	77	72	66	66	88	70	83	68	88	83	88	82	67	78	75	71	86	83	76	85	85	75	50	81
Ladislav Krejčí	25	191	87	L	B	CBT	["CBT","DM"]	Girona	2029	78	76	87	82	76	72	80	68	76	75	79	79	72	71	70	79	69	64	62	85	90	77	78	86	50	81
Bojan Miovski Бојан Миовски	25	189	76	L	B	CF	["CF"]	Girona	2028	80	33	77	82	78	76	80	74	76	77	71	75	63	70	82	82	72	63	74	79	85	74	80	78	50	73
Bryan Gil Salvatierra	23	175	60	L	B	WF	["WF","SM"]	Girona	2025	80	40	74	71	79	81	80	86	83	82	79	74	79	76	78	69	72	77	74	61	66	81	80	66	50	74
Yangel Clemente Herrera Ravelo	26	184	78	R	B	DM	["DM","CM"]	Girona	2027	84	80	84	84	68	71	84	72	84	76	85	85	79	78	82	85	77	67	70	83	86	85	84	84	50	84
Jhon Elmer Solís Romero	20	189	80	R	B	DM	["DM","CM"]	Girona	2028	73	69	80	83	68	70	76	66	75	71	77	74	69	65	70	71	66	61	62	70	79	75	76	79	50	73
Iván Martín Núñez	25	178	70	L	B	AM	["AM","CM"]	Girona	2028	83	73	71	78	78	79	81	82	84	81	83	80	83	80	81	77	77	72	84	61	70	84	81	72	50	77
Cristian Portugués Manzanera	32	167	66	R	B	WF	["WF","SM"]	Girona	2027	79	59	80	82	84	85	80	85	80	82	79	81	77	81	80	83	80	71	81	75	85	80	80	82	50	80
Pau López Sabata	29	189	77	L	B	GK	["GK"]	Girona	2025	31	82	80	71	62	62	85	67	58	56	71	72	69	70	40	82	46	62	49	56	76	66	55	75	81	75
Gabriel Osei Misehouy	19	173	68	R	B	AM	["AM"]	Girona	2028	71	41	77	71	74	75	70	76	72	72	72	70	71	70	68	70	66	66	71	61	66	73	70	71	50	72
Silvi Clua Oya	19	189	75	L	B	DM	["DM","CM"]	Girona	2026	64	67	69	71	66	66	71	67	66	62	73	68	65	59	61	68	61	61	62	67	68	71	68	68	50	67
Min-su Kim 김민수	18	177	66	R	B	WF	["WF","SM","CF"]	Girona	2027	68	33	71	71	79	81	68	80	71	74	70	67	65	64	68	68	62	61	62	64	66	71	68	63	50	66
Antal Yaakobishvili	20	193	86	R	B	CBT	["CBT"]	Girona	2028	50	71	79	71	71	70	71	64	66	66	74	69	64	49	61	68	61	61	62	72	79	71	53	68	50	63
Ricard Artero Ruiz	21	181	75	R	B	AM	["AM","SM","WF"]	Girona	2026	67	62	67	71	70	76	67	76	72	70	73	70	68	65	70	68	64	61	62	62	68	73	67	67	50	67
Raúl Martínez Moreno	18	175	71	R	B	CM	["CM","AM"]	Girona	2025	65	60	69	71	70	68	67	69	68	68	70	67	66	61	63	68	60	61	62	65	67	68	67	63	50	64
Lucas García Madrigal	20	184	70	R	B	GK	["GK"]	Girona	2025	31	69	73	71	62	62	69	60	58	55	61	63	61	63	29	66	43	61	49	55	66	65	43	59	69	60
Papa Dame Ba	20	175	66	L	B	WF	["WF","SM"]	Girona	2026	68	33	72	71	79	79	68	79	70	73	70	67	65	64	67	68	61	61	62	61	66	70	68	63	50	65
Ferrán Ruiz Martí	21	172	65	R	B	SB	["SB"]	Girona	2026	64	63	71	71	71	75	69	72	69	68	69	66	66	65	61	68	61	61	62	61	66	70	69	67	50	64
Jacobus Antonius Peter Cillessen	35	185	83	R	B	GK	["GK"]	Las Palmas	2026	31	81	80	71	62	62	81	68	58	55	62	67	65	67	34	77	43	62	49	56	77	66	52	76	81	73
Marvin Olawale Akinlabi Park	24	178	63	R	B	SM	["SM","SB","WB"]	Las Palmas	2028	67	64	74	79	90	89	71	85	77	83	76	71	75	70	73	68	66	61	68	61	73	76	68	77	50	72
Mika Mármol Medina	23	182	72	L	B	CBT	["CBT"]	Las Palmas	2026	64	81	80	72	84	82	80	80	78	80	82	74	69	60	61	68	64	61	62	76	88	78	69	76	50	78
José Alejandro Suárez Suárez	31	180	72	R	B	CBT	["CBT","SB"]	Las Palmas	2026	66	75	83	76	79	78	78	74	69	72	78	71	71	66	61	68	61	61	62	76	87	71	76	78	50	68
Javier Muñoz Jiménez	29	175	69	R	B	CM	["CM","AM","DM"]	Las Palmas	2025	77	69	79	88	75	78	74	76	79	76	81	76	74	70	72	72	71	63	77	61	74	80	74	84	50	78
Fabio González Estupiñán	27	176	69	R	B	DM	["DM","CM"]	Las Palmas	2025	67	70	76	78	66	70	72	70	74	65	77	72	66	60	66	68	69	61	62	71	74	76	70	74	50	68
Francisco Jesús Crespo García	28	177	67	L	B	WF	["WF","SM"]	Las Palmas	2026	72	42	71	71	93	91	70	86	77	85	74	80	72	79	76	87	75	76	75	61	72	78	70	65	50	70
José Ángel Gómez Campaña	31	179	70	R	B	CM	["CM","SM","DM"]	Las Palmas	2025	79	72	79	83	68	69	79	73	82	74	83	81	82	80	76	79	76	82	87	72	77	83	79	79	50	79
Marc Cardona Rovira	29	183	70	R	B	CF	["CF"]	Las Palmas	2026	76	35	71	83	81	83	76	81	74	77	75	73	64	68	73	73	72	63	66	75	81	75	76	75	50	72
Alberto Moleiro González	21	172	67	R	B	WF	["WF","SM","AM","CF","SS"]	Las Palmas	2026	77	55	76	79	86	88	76	89	84	86	81	79	76	75	75	78	73	63	79	66	78	83	76	74	50	77
Benito Ramírez del Toro	29	179	70	L	B	SB	["SB","SM","WB"]	Las Palmas	2025	72	62	76	76	89	87	73	84	74	81	74	74	71	72	70	76	68	72	66	74	83	74	73	73	50	70
Enzo Loiodice	24	175	71	L	B	CM	["CM","DM"]	Las Palmas	2025	72	73	75	83	72	69	74	73	80	76	81	79	75	73	67	77	73	75	72	67	68	80	74	81	50	76
Dinko Horkaš	25	189	77	R	B	GK	["GK"]	Las Palmas	2028	31	73	78	71	62	62	76	68	58	55	61	64	63	64	33	70	43	61	49	55	71	65	46	63	73	67
Manuel Fuster Lázaro	27	169	65	R	B	SM	["SM","CM"]	Las Palmas	2028	75	56	76	71	77	85	75	80	77	77	79	74	77	73	78	69	70	77	74	72	70	76	75	65	50	71
Scott Fraser McKenna	28	189	80	L	B	CBT	["CBT"]	Las Palmas	2027	51	76	88	72	70	67	76	62	65	66	71	67	64	57	61	68	61	61	62	82	89	69	52	78	50	76
Oliver Robert McBurnie	28	191	77	R	B	CF	["CF"]	Las Palmas	2027	79	40	90	77	70	69	77	68	78	72	78	79	63	65	77	82	74	61	62	81	90	80	77	81	50	80
Jaime Mata Arnaiz	36	185	79	R	B	CF	["CF","SM","WF"]	Las Palmas	2025	81	44	78	71	70	66	81	66	78	73	73	77	67	76	76	82	76	63	62	78	79	78	81	76	50	79
Víctor Álvarez Rozada	27	170	64	R	B	SB	["SB","SM","WB"]	Las Palmas	2027	75	67	78	86	92	89	76	87	75	83	73	70	71	69	68	68	68	61	62	61	68	75	76	83	50	75
Sandro Ramírez Castillo	29	175	71	R	B	CF	["CF","SM","WF"]	Las Palmas	2026	78	35	74	71	80	82	76	82	81	80	80	83	70	79	77	87	79	80	83	77	84	81	76	69	50	71
Kirian Rodríguez Concepción	28	180	73	R	B	CM	["CM","DM","AM"]	Las Palmas	2028	78	74	75	83	69	77	78	77	81	75	81	81	76	76	80	81	74	78	75	66	76	81	77	79	50	79
Iván Gil Calero	24	168	63	R	B	CM	["CM","SM","WF"]	Las Palmas	2027	76	62	75	71	70	71	75	74	78	74	77	74	71	69	76	73	68	71	68	61	66	77	75	65	50	71
Daley Sinkgraven	29	179	70	L	B	SB	["SB","SM","WB"]	Las Palmas	2025	75	70	74	76	74	77	74	79	77	75	77	72	78	73	67	68	71	72	78	73	69	78	73	77	50	77
Alejandro José Muñoz Miguel	30	187	80	L	B	SB	["SB","CBT"]	Las Palmas	2026	72	75	83	90	85	82	79	77	73	77	76	79	74	77	73	83	70	63	65	79	90	74	75	83	50	70
Adnan Januzaj	29	186	76	L	B	WF	["WF","SM"]	Las Palmas	2025	77	37	72	71	78	79	76	82	83	80	83	81	78	79	73	79	77	79	83	62	66	83	76	64	50	73
Álvaro Vallés Rosa	27	192	82	R	B	GK	["GK"]	Las Palmas	2025	31	84	82	72	62	62	86	68	59	55	66	70	69	70	31	82	43	63	49	56	78	66	52	71	84	73
Juan Manuel Herzog González	20	186	85	R	B	CBT	["CBT"]	Las Palmas	2025	59	72	79	77	81	79	79	74	67	71	77	71	68	65	61	68	62	61	62	79	89	73	65	78	50	72
Dário Cassia Luís Essugo	19	178	80	R	B	CM	["CM","DM"]	Las Palmas	2025	78	78	86	81	84	80	81	81	79	82	79	75	66	63	61	72	68	61	62	70	86	78	76	81	50	79
Victor Puig Iglesias	19	185	72	R	B	GK	["GK"]	Las Palmas	2026	31	68	72	71	62	62	68	59	58	55	61	64	62	64	30	68	43	61	49	55	65	65	36	55	68	57
Fábio Daniel Soares Silva	22	185	75	R	B	CF	["CF","WF","SM"]	Las Palmas	2025	78	40	78	79	85	83	78	79	80	82	72	74	60	65	80	77	75	61	62	73	84	80	78	80	50	77
Juan Soriano Oropesa	27	185	78	L	B	GK	["GK"]	Leganés	2027	31	79	77	71	62	62	81	66	58	55	61	66	63	66	36	74	43	61	49	55	75	65	51	68	78	64
Adrià Altimira Reynaldos	23	176	69	R	B	SB	["SB","SM","WB"]	Leganés	2025	72	65	74	76	69	71	72	68	71	68	71	68	69	65	68	68	61	61	62	71	70	71	72	67	50	68
Jorge Sáenz de Miera Colmeiro	28	192	75	R	B	CBT	["CBT"]	Leganés	2025	60	78	81	81	77	66	77	66	71	70	73	68	63	56	61	68	63	61	62	78	82	75	65	80	50	77
Jackson Gabriel Porozo Vernaza	24	192	84	R	B	CBT	["CBT"]	Leganés	2025	51	75	83	71	82	66	77	62	65	72	68	65	58	51	61	68	59	61	62	77	83	65	56	73	50	72
Renato Fabrizio Tapia Cortijo	29	185	80	R	B	DM	["DM","CM","CBT"]	Leganés	2026	76	79	88	86	72	74	81	72	75	71	81	81	75	76	70	81	71	64	70	78	86	78	78	85	50	79
Sergio González Poirrier	32	186	67	R	B	CBT	["CBT"]	Leganés	2025	55	80	77	71	66	66	78	62	65	62	76	70	64	52	61	68	63	61	62	83	79	75	59	74	50	77
Óscar Rodríguez Arnaiz	26	174	67	R	B	CM	["CM","SM"]	Leganés	2026	78	59	70	71	66	66	80	68	79	71	81	79	77	75	81	79	78	86	81	61	66	80	80	64	50	73
Seydouba Cissé	23	179	72	R	B	CM	["CM","SM","DM"]	Leganés	2026	74	64	70	78	66	69	76	67	75	67	81	76	71	65	74	72	69	68	64	67	66	78	73	77	50	74
Miguel de la Fuente Escudero	25	182	83	R	B	CF	["CF","SM","WF"]	Leganés	2028	76	42	85	78	75	75	74	76	79	76	77	77	58	64	81	79	72	61	62	77	88	79	74	74	50	69
Daniel Raba Antolín	29	184	76	L	B	WF	["WF","SM","CF"]	Leganés	2025	78	46	76	71	66	76	72	74	79	71	77	76	79	76	80	75	70	76	74	63	74	79	72	65	50	73
Juan Cruz Díaz Espósito	24	177	72	L	B	WF	["WF","SM","AM"]	Leganés	2028	75	40	68	71	81	85	72	86	80	81	73	73	73	74	78	74	71	69	77	61	66	80	72	68	50	73
Valentin André Henri Rosier	28	175	75	R	B	SB	["SB"]	Leganés	2025	73	72	82	81	85	85	76	85	76	80	75	71	74	73	61	69	65	61	75	71	77	77	74	81	50	75
Marko Dmitrović Марко Дмитровић	32	194	91	L	B	GK	["GK"]	Leganés	2025	31	82	86	71	62	62	82	66	58	55	62	68	66	69	41	81	43	62	49	56	78	66	51	74	81	69
Darko Brašanac	32	178	73	R	B	CM	["CM","DM","AM"]	Leganés	2025	78	75	74	73	66	66	81	64	77	65	80	81	76	76	73	83	70	68	66	71	74	80	81	78	50	79
Enric Franquesa Dolz	27	174	70	L	B	SB	["SB","SM","WB"]	Leganés	2026	70	65	74	84	79	87	71	83	74	75	76	70	69	68	66	68	63	61	62	63	75	75	71	77	50	67
Yvan Neyou Noupa	27	180	63	R	B	DM	["DM","CM"]	Leganés	2025	74	72	74	78	73	68	76	72	79	76	76	72	68	64	68	69	66	61	62	71	73	78	74	80	50	77
Sébastien Romain Teddy Haller	30	191	90	R	B	CF	["CF"]	Leganés	2025	86	53	86	72	66	66	85	68	82	70	82	83	62	68	85	85	80	63	63	86	86	85	85	72	50	80
